Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Mike Freeman","CIN",8,11,10,2,2,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0.2,11241
2021,"Yasmani Grandal","CHW",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11368
2021,"Tony Wolters","CHC",6,8,7,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,11470
2021,"Odubel Herrera","PHI",47,101,91,25,18,5,0,2,2,6,5,0,18,3,1,0,2,0,0,0.27472527,11476
2021,"Christian Yelich","MIL",39,58,46,9,5,1,1,2,2,8,11,0,18,0,1,0,0,0,0,0.19565217,11477
2021,"Robbie Ray","TOR",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11486
2021,"Bryce Harper","PHI",49,102,85,22,16,4,0,2,2,4,15,0,33,2,0,0,1,0,0,0.25882353,11579
2021,"Drew Smyly","ATL",8,13,12,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0.08333333,11760
2021,"Mason Williams","NYM",6,9,7,1,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0.14285714,11859
2021,"Joc Pederson","2 Tms",41,73,65,19,13,5,0,1,1,12,6,0,17,2,0,0,1,0,0,0.29230769,11899
2021,"Joe Panik","2 Tms",20,30,25,3,2,1,0,0,0,0,5,0,7,0,0,0,0,0,0,0.12,11936
2021,"Travis Shaw","MIL",29,47,39,6,3,2,0,1,1,2,6,0,12,1,0,1,1,0,0,0.15384615,11982
2021,"Max Kepler","MIN",36,70,64,13,8,3,1,1,1,6,5,0,16,1,0,0,0,0,0,0.203125,12144
2021,"Eddie Rosario","CLE",51,107,100,27,22,3,0,2,2,21,4,0,19,0,1,2,0,0,0,0.27,12155
2021,"Ben Gamel","2 Tms",28,45,43,10,7,2,0,1,1,3,1,0,13,0,0,1,0,0,0,0.23255814,12160
2021,"Scott Schebler","LAA",8,10,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12225
2021,"Rougned Odor","NYY",25,54,48,13,6,2,0,5,5,9,4,0,12,2,0,0,2,0,0,0.27083333,12282
2021,"Jace Peterson","MIL",15,26,22,7,6,1,0,0,0,4,3,0,5,0,1,0,0,0,0,0.31818182,12325
2021,"Tommy La Stella","SFG",5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12371
2021,"Kolten Wong","MIL",29,66,62,22,16,3,1,2,2,9,3,0,7,1,0,0,0,0,0,0.35483871,12532
2021,"Alex Dickerson","SFG",14,16,12,3,3,0,0,0,0,2,3,0,2,1,0,0,0,0,0,0.25,12649
2021,"Dillon Thomas","SEA",1,3,3,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0.33333333,12719
2021,"Brad Miller","PHI",32,50,47,10,7,0,0,3,3,8,3,0,20,0,0,0,2,0,0,0.21276596,12775
2021,"Brian Goodwin","CHW",16,32,30,4,4,0,0,0,0,2,1,0,10,0,0,1,0,0,0,0.13333333,12858
