"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Justin Upton","LAA","63","223","256","55","31","10","0","14","40","32","30","0","74","1","2","0","7","3","1",".247","5222"
"Francisco Mejia","TBR","48","142","158","35","22","10","0","3","14","14","8","0","30","6","1","1","3","0","0",".246","16403"
"Chas McCormick","HOU","57","142","164","35","18","7","0","10","29","35","13","0","51","3","6","0","3","2","1",".246","19599"
"Rafael Ortega","CHC","36","69","76","17","11","4","0","2","7","6","5","0","18","1","0","1","1","2","3",".246","10323"
"Kevin Plawecki","BOS","28","65","72","16","12","3","0","1","7","3","5","0","12","1","0","1","2","0","0",".246","13807"
"Kyle Lewis","SEA","36","130","147","32","23","4","0","5","15","11","16","0","37","1","0","0","1","2","0",".246","19508"
"Luis Urias","MIL","89","301","346","74","44","16","1","13","47","45","36","2","78","6","2","0","5","5","0",".246","16622"
"Anthony Rizzo","CHC","82","285","332","70","42","14","3","11","33","34","32","2","54","12","3","0","11","4","2",".246","3473"
"Eric Sogard","CHC","75","163","174","40","33","5","1","1","16","11","9","1","30","0","2","0","5","3","1",".245","7927"
"Andrew Vaughn","CHW","78","253","284","62","34","18","0","10","38","26","22","0","69","4","5","0","6","1","1",".245","26197"
"Trevor Larnach","MIN","57","192","221","47","31","9","0","7","25","21","22","0","70","6","1","0","3","1","0",".245","21501"
"Michael A. Taylor","KCR","83","278","304","68","52","7","1","8","37","32","22","0","93","3","1","0","6","6","3",".245","11489"
"Randy Arozarena","TBR","85","323","366","79","53","15","1","10","52","41","35","2","99","6","2","0","8","11","6",".245","19290"
"Gavin Sheets","CHW","14","45","53","11","3","4","0","4","7","11","7","0","10","0","1","0","1","0","0",".244","19901"
"Tyler Naquin","CIN","82","262","292","64","39","12","0","13","31","51","22","1","72","5","3","0","5","4","2",".244","13359"
"Javier Baez","CHC","82","303","327","74","43","8","2","21","44","59","14","1","121","6","3","0","5","12","2",".244","12979"
"Ben Gamel","- - -","66","172","197","42","24","11","1","6","22","14","22","0","51","0","2","1","2","0","2",".244","12160"
"Charlie Culberson","TEX","58","164","181","40","24","11","2","3","17","16","13","1","45","1","0","3","2","4","0",".244","3298"
"LaMonte Wade Jr.","SFG","42","123","142","30","17","4","1","8","19","20","14","0","29","3","1","1","2","2","0",".244","18126"
"Alan Trejo","COL","26","41","45","10","7","2","0","1","7","3","3","1","12","0","1","0","2","0","0",".244","20056"
"Jose Devers","MIA","21","41","46","10","7","3","0","0","7","5","3","0","11","1","1","0","0","0","0",".244","20540"
"Kevin Kiermaier","TBR","66","201","218","49","34","12","1","2","26","20","15","1","62","2","0","0","2","7","1",".244","11038"
"Christian Yelich","MIL","62","201","254","49","34","8","1","6","43","27","49","4","69","3","1","0","3","7","1",".244","11477"
"Harrison Bader","STL","34","115","130","28","18","4","0","6","12","17","13","5","20","1","1","0","2","5","2",".243","18030"
"Alec Bohm","PHI","85","300","329","73","55","12","0","6","38","41","24","0","86","1","4","0","12","4","0",".243","21618"
"Tony Kemp","OAK","73","185","233","45","29","10","2","4","28","18","36","0","39","4","4","4","1","4","1",".243","14894"
"Tyrone Taylor","MIL","60","144","164","35","23","4","1","7","18","26","12","0","40","7","1","0","3","5","1",".243","13675"
"Albert Pujols","- - -","66","202","215","49","34","2","0","13","22","35","8","2","30","4","1","0","9","1","0",".243","1177"
"Trevor Story","COL","80","297","336","72","41","18","2","11","42","43","30","2","78","4","5","0","4","17","4",".242","12564"
"Edward Olivares","KCR","11","33","34","8","7","0","0","1","4","2","0","0","9","1","0","0","1","1","0",".242","19698"
"Carlos Santana","KCR","92","322","389","78","53","10","0","15","48","51","60","3","59","3","4","0","5","2","0",".242","2396"
"James McCann","NYM","77","240","266","58","43","8","0","7","19","29","23","0","80","2","1","0","8","0","0",".242","12859"
"Mike Moustakas","CIN","28","87","104","21","12","5","0","4","15","13","12","0","18","2","3","0","4","0","0",".241","4892"
"Odubel Herrera","PHI","62","228","251","55","34","14","1","6","33","25","14","0","45","4","4","0","2","4","0",".241","11476"
"Jarrod Dyson","KCR","53","83","90","20","13","5","2","0","9","7","5","0","21","0","0","2","0","6","1",".241","4866"
"Yadiel Hernandez","WSN","53","83","92","20","17","1","0","2","9","4","7","0","25","1","1","0","3","2","0",".241","19334"
"Luke Voit","NYY","29","108","122","26","19","3","1","3","13","11","11","0","36","3","0","0","3","0","0",".241","14811"
"Bradley Zimmer","CLE","40","108","131","26","22","1","1","2","15","15","15","0","46","8","0","0","0","6","1",".241","16221"
"Connor Joe","COL","26","54","63","13","11","2","0","0","4","6","9","0","13","0","0","0","1","0","0",".241","16572"
"Zach McKinstry","LAD","48","133","147","32","18","7","0","7","19","29","10","1","41","1","2","1","3","1","1",".241","19392"
"Ryan Zimmerman","WSN","63","158","165","38","21","7","0","10","17","27","7","0","43","0","0","0","2","0","0",".241","4220"
"Gleyber Torres","NYY","80","287","328","69","54","10","0","5","28","32","39","0","65","0","1","1","6","6","2",".240","16997"
"Willson Contreras","CHC","83","275","324","66","42","10","0","14","38","33","38","1","89","9","2","0","8","3","4",".240","11609"
"Taylor Ward","LAA","61","200","227","48","26","14","0","8","31","31","18","0","55","6","1","2","4","1","1",".240","17548"
"Austin Meadows","TBR","87","321","372","77","37","23","1","16","52","63","41","3","86","5","5","0","4","3","0",".240","15672"
"Mike Yastrzemski","SFG","74","267","309","64","28","20","2","14","46","38","34","3","66","7","1","0","1","1","0",".240","14854"
"Anthony Rendon","LAA","58","217","249","52","33","13","0","6","24","34","29","2","41","1","2","0","11","0","0",".240","12861"
"Asdrubal Cabrera","ARI","63","192","223","46","28","13","0","5","25","28","26","1","47","2","3","0","3","1","0",".240","4962"
"Jake Rogers","DET","38","113","127","27","13","5","3","6","17","17","11","0","46","0","0","3","0","1","0",".239","19452"
"Joshua Fuentes","COL","83","243","255","58","39","11","1","7","27","32","11","1","61","0","1","0","5","0","0",".239","16885"
"Miguel Cabrera","DET","71","264","288","63","50","6","0","7","28","34","19","0","76","3","2","0","8","0","0",".239","1744"
"Dansby Swanson","ATL","92","344","377","82","43","21","2","16","41","42","26","4","103","3","3","1","7","6","3",".238","18314"
"Rene Rivera","- - -","23","63","71","15","10","3","0","2","6","9","4","0","27","1","0","3","3","0","0",".238","3648"
"Jacob Stallings","PIT","69","227","256","54","30","15","1","8","23","40","27","0","52","2","0","0","5","0","0",".238","13723"
"Magneuris Sierra","MIA","72","118","128","28","25","3","0","0","17","0","10","4","27","0","0","0","1","5","0",".237","17023"
"Joc Pederson","- - -","76","266","298","63","37","12","2","12","36","43","23","0","74","5","4","0","5","2","3",".237","11899"
"Grayson Greiner","DET","14","38","39","9","7","1","0","1","1","5","1","0","16","0","0","0","0","0","0",".237","17062"
"Jake Fraley","SEA","40","114","149","27","18","2","0","7","18","23","33","1","38","1","1","0","2","7","1",".237","19260"
"Eric Haase","DET","46","165","177","39","19","6","1","13","26","27","10","0","58","2","0","0","5","1","0",".236","14111"
"Christian Walker","ARI","58","208","227","49","33","11","1","4","27","21","15","0","51","3","1","0","5","0","0",".236","13419"
"Mitch Moreland","OAK","60","170","187","40","26","7","0","7","20","24","13","0","49","1","3","0","2","0","0",".235","3086"
"Tommy La Stella","SFG","25","68","75","16","11","3","1","1","8","5","6","0","10","0","0","0","0","0","0",".235","12371"
"Chadwick Tromp","SFG","8","17","17","4","3","0","0","1","1","2","0","0","4","0","0","0","1","0","0",".235","16953"
"Joey Gallo","TEX","87","285","360","67","36","6","1","24","53","52","72","4","112","3","0","0","3","6","0",".235","14128"
"Ramon Laureano","OAK","74","285","319","67","38","14","2","13","39","31","25","0","80","8","1","0","4","11","4",".235","17128"
"Mauricio Dubon","SFG","66","158","169","37","25","7","0","5","18","20","8","2","38","1","2","0","4","2","1",".234","16530"
"Adam Duvall","MIA","82","278","301","65","35","9","1","20","38","64","19","0","92","1","3","0","4","5","0",".234","10950"
"Elvis Andrus","OAK","92","321","343","75","53","19","1","2","33","21","18","2","59","1","3","0","6","8","2",".234","8709"
"Rhys Hoskins","PHI","91","339","382","79","35","24","0","20","51","56","37","0","98","4","2","0","7","2","0",".233","16472"
"Andrew Stevenson","WSN","55","99","111","23","19","2","0","2","15","11","6","0","33","3","1","2","3","1","1",".232","17932"
"Kyle Garlick","MIN","36","99","107","23","10","8","0","5","17","10","6","0","32","1","1","0","2","1","0",".232","18063"
"Pedro Severino","BAL","63","207","232","48","34","9","0","5","21","19","24","1","55","0","1","0","6","0","0",".232","14523"
"Jonah Heim","TEX","47","138","149","32","19","9","0","4","13","15","9","0","26","0","1","1","7","2","1",".232","16930"
"Erik Gonzalez","PIT","71","220","229","51","41","7","1","2","17","21","8","0","40","0","1","0","4","2","2",".232","13369"
"Andrelton Simmons","MIN","73","242","269","56","44","9","0","3","31","18","22","0","44","2","0","3","7","0","0",".231","10847"
"Enrique Hernandez","BOS","78","290","328","67","35","20","1","11","43","30","28","0","69","7","3","0","3","1","0",".231","10472"
"Travis Blankenhorn","- - -","14","13","14","3","0","2","0","1","4","4","1","0","3","0","0","0","0","0","0",".231","18395"
"Taylor Walls","TBR","36","104","121","24","13","10","0","1","10","12","16","0","33","0","0","1","2","3","2",".231","22458"
"Jurickson Profar","SDP","88","243","286","56","42","11","1","2","34","21","37","1","46","2","2","1","8","10","2",".230","10815"
"Jose Trevino","TEX","54","165","174","38","31","4","0","3","14","17","4","0","35","0","3","2","9","0","1",".230","16725"
"Nick Solak","TEX","89","327","362","75","52","12","2","9","42","34","19","0","87","13","2","1","9","4","3",".229","19294"
"Andrew McCutchen","PHI","86","288","353","66","38","11","1","16","48","51","55","1","78","3","7","0","7","6","1",".229","9847"
"Jonathan Villar","NYM","71","214","240","49","29","10","1","9","33","19","23","2","58","2","0","1","3","8","4",".229","10071"
"Anthony Santander","BAL","60","219","239","50","29","15","0","6","23","24","14","0","59","2","3","1","7","0","1",".228","14551"
"Francisco Lindor","NYM","88","311","364","71","48","11","1","11","49","36","41","2","61","5","2","5","5","8","2",".228","12916"
"Webster Rivas","SDP","20","57","65","13","9","2","0","2","6","4","7","0","12","0","0","1","6","0","0",".228","14636"
"Bobby Bradley","CLE","34","114","131","26","11","5","0","10","23","20","14","0","43","3","0","0","3","0","0",".228","17278"
"Stephen Vogt","- - -","53","136","155","31","19","6","1","5","19","18","18","1","37","0","0","1","2","0","0",".228","5000"
"Alex Dickerson","SFG","68","176","194","40","25","6","1","8","21","24","14","0","47","4","0","0","4","1","0",".227","12649"
"Zack Collins","CHW","49","132","153","30","16","10","0","4","18","22","19","0","50","1","0","1","1","1","1",".227","19181"
"Andy Young","ARI","36","44","53","10","2","3","0","5","10","10","4","0","25","5","0","0","1","0","0",".227","19521"
"Gavin Lux","LAD","82","278","313","63","44","10","3","6","39","37","31","1","74","2","2","0","2","3","1",".227","19955"
"Juan Lagares","LAA","60","190","199","43","24","16","1","2","26","24","6","0","39","1","1","1","5","1","0",".226","5384"
"Abraham Toro","HOU","30","93","104","21","16","1","0","4","15","17","8","0","16","2","1","0","1","3","1",".226","19844"
"Cavan Biggio","TOR","66","213","255","48","31","10","1","6","25","24","35","2","68","1","4","1","4","3","1",".225","19252"
"Jake Marisnick","CHC","57","111","124","25","13","4","3","5","16","20","8","0","39","3","2","0","2","3","1",".225","11339"
"Robbie Grossman","DET","89","320","392","72","45","12","2","13","46","43","61","1","92","4","5","2","3","11","4",".225","5254"
"Oscar Mercado","CLE","15","40","44","9","5","2","1","1","6","4","4","0","11","0","0","0","0","2","0",".225","16375"
"Alejandro Kirk","TOR","17","40","46","9","5","1","0","3","7","8","5","0","6","1","0","0","3","0","0",".225","22581"
"Kyle Farmer","CIN","87","249","279","56","40","9","0","7","28","29","13","1","50","13","3","1","8","2","2",".225","14813"
"Rougned Odor","NYY","55","174","193","39","21","8","0","10","25","23","14","0","52","5","0","0","3","0","0",".224","12282"
"Curt Casali","SFG","44","116","135","26","14","7","1","4","13","18","17","3","37","2","0","0","1","0","0",".224","12510"
"Mitch Garver","MIN","41","116","135","26","10","8","0","8","17","17","19","0","45","0","0","0","3","0","0",".224","15161"
"Matt Chapman","OAK","92","322","378","72","47","11","3","11","42","42","46","0","116","2","8","0","5","1","0",".224","16505"
"Jake Lamb","CHW","31","85","99","19","12","2","0","5","16","10","13","0","28","1","0","0","2","0","0",".224","13329"
"Abraham Almonte","ATL","39","103","127","23","11","10","0","2","15","13","23","0","24","0","1","0","1","0","1",".223","5486"
"Lorenzo Cain","MIL","31","103","118","23","16","4","0","3","16","9","14","0","24","1","0","0","1","4","1",".223","9077"
"Cesar Hernandez","CLE","87","341","380","76","45","14","2","15","53","39","35","0","85","3","1","0","6","0","0",".223","10556"
"Anthony Bemboom","LAA","8","27","28","6","6","0","0","0","2","2","1","0","10","0","0","0","1","0","0",".222","13854"
"Austin Dean","STL","18","27","34","6","3","2","0","1","4","7","5","0","9","0","2","0","0","0","0",".222","18288"
"Luis Garcia","WSN","11","18","20","4","3","0","1","0","3","0","2","0","4","0","0","0","0","0","0",".222","20391"
"Joe Panik","- - -","55","149","163","33","24","6","0","3","12","13","13","1","23","0","1","0","4","2","0",".221","11936"
"Jason Castro","HOU","37","86","108","19","12","5","0","2","13","9","18","0","30","2","0","2","3","0","0",".221","8722"
"Didi Gregorius","PHI","45","163","179","36","22","6","0","8","19","27","10","1","34","3","3","0","3","3","0",".221","6012"
"Maikel Franco","BAL","77","290","309","64","37","18","0","9","27","42","17","0","50","1","1","0","8","0","0",".221","12179"
"Lewis Brinson","MIA","28","68","69","15","10","3","0","2","3","5","1","0","21","0","0","0","2","0","0",".221","14352"
"Victor Caratini","SDP","76","204","237","45","33","6","0","6","22","29","27","5","60","3","3","0","9","2","0",".221","14968"
"Aristides Aquino","CIN","27","50","59","11","3","2","1","5","7","8","9","1","21","0","0","0","0","1","2",".220","15482"
"Kurt Suzuki","LAA","44","132","150","29","23","4","0","2","10","7","8","0","31","7","1","2","4","0","0",".220","8259"
"Sean Murphy","OAK","77","255","292","56","28","16","0","12","31","44","24","0","74","10","3","0","6","0","0",".220","19352"
"Travis d'Arnaud","ATL","23","82","87","18","12","4","0","2","5","11","4","0","20","0","1","0","4","0","0",".220","7739"
"Niko Goodrum","DET","63","205","230","45","33","5","1","6","28","18","20","0","83","3","2","0","3","12","4",".220","12092"
"Jon Berti","MIA","81","224","259","49","34","10","1","4","34","19","30","0","58","2","2","1","7","8","4",".219","12037"
"Billy Hamilton","CHW","49","92","98","20","10","6","2","2","17","10","3","0","31","0","1","2","1","6","0",".217","10199"
"Luis Torrens","SEA","50","161","178","35","18","6","1","10","20","22","15","1","47","1","1","0","4","0","0",".217","15905"
"Austin Nola","SDP","18","46","59","10","7","2","0","1","4","11","8","0","3","4","1","0","0","0","0",".217","15941"
"Will Craig","PIT","18","60","65","13","10","2","0","1","5","3","5","1","22","0","0","0","1","0","0",".217","19267"
"Chad Pinder","OAK","46","134","145","29","16","10","0","3","16","13","8","0","40","2","1","0","4","0","0",".216","15191"
"Daniel Vogelbach","MIL","67","171","198","37","22","8","0","7","23","16","27","1","42","0","0","0","3","0","0",".216","14130"
"Wander Franco","TBR","18","74","80","16","10","2","1","3","11","8","6","0","19","0","0","0","0","2","1",".216","23667"
"Bobby Dalbec","BOS","75","250","266","54","31","10","3","10","25","36","12","0","99","3","1","0","2","1","0",".216","19966"
"David Dahl","TEX","53","176","187","38","25","9","0","4","18","14","7","0","49","1","2","1","3","2","1",".216","13744"
"Ender Inciarte","ATL","52","79","89","17","13","2","0","2","11","10","7","0","22","0","1","2","1","1","0",".215","4922"
"Jake Bauers","- - -","70","200","219","43","35","5","0","3","17","13","18","1","54","0","0","0","0","1","1",".215","15194"
"Gary Sanchez","NYY","72","238","279","51","25","10","0","16","36","36","37","3","76","4","0","0","10","0","0",".214","11442"
"Kevin Pillar","NYM","70","196","206","42","26","7","1","8","24","23","8","0","50","2","0","0","5","2","2",".214","12434"
"Tyler Wade","NYY","54","56","60","12","10","1","1","0","15","2","4","0","16","0","0","0","2","4","2",".214","15730"
"Willi Castro","DET","74","252","280","54","36","10","2","6","34","28","18","1","72","5","2","3","3","4","1",".214","17338"
"Rodolfo Castro","PIT","7","14","16","3","0","0","0","3","4","4","2","0","5","0","0","0","1","0","0",".214","21987"
"Max Kepler","MIN","58","206","236","44","20","11","3","10","31","35","26","1","52","2","2","0","2","7","0",".214","12144"
"Billy McKinney","- - -","79","183","202","39","20","9","2","8","24","20","18","1","55","0","1","0","2","2","0",".213","15654"
"Kyle Seager","SEA","92","343","382","73","39","16","1","17","33","52","33","1","99","3","3","0","4","2","1",".213","9785"
"Marcell Ozuna","ATL","48","188","208","40","27","6","0","7","21","26","19","0","46","1","0","0","6","0","0",".213","10324"
"Mike Freeman","CIN","27","47","53","10","10","0","0","0","4","3","5","1","15","1","0","0","1","1","1",".213","11241"
"Orlando Arcia","- - -","14","47","50","10","8","1","0","1","4","8","3","1","12","0","0","0","2","1","0",".213","13185"
"Ryan O'Hearn","KCR","39","127","133","27","19","2","0","6","14","13","6","0","41","0","0","0","3","0","0",".213","16442"
"Mason Williams","NYM","17","33","37","7","5","1","0","1","3","1","4","1","9","0","0","0","1","0","1",".212","11859"
"Nick Ahmed","ARI","82","264","289","56","36","16","2","2","27","17","22","1","70","2","0","1","6","5","2",".212","12147"
"Nomar Mazara","DET","50","165","181","35","25","5","2","3","12","19","15","0","45","0","1","0","4","0","0",".212","14553"
"Brandon Lowe","TBR","85","297","346","63","31","11","0","21","49","48","41","3","109","7","1","0","0","4","1",".212","18882"
"Phillip Evans","PIT","59","184","212","39","30","4","0","5","20","15","23","0","48","5","0","0","3","1","0",".212","12950"
"Austin Slater","SFG","77","189","209","40","27","3","1","9","23","22","19","0","65","1","0","0","5","8","2",".212","16153"
"Jorge Alfaro","MIA","49","156","167","33","26","4","0","3","10","10","7","0","56","4","0","0","4","4","0",".212","12180"
"Pablo Reyes","MIL","34","52","55","11","9","2","0","0","8","1","3","0","12","0","0","0","2","2","0",".212","16357"
"Kevin Newman","PIT","86","312","331","66","54","8","1","3","28","15","16","1","24","1","1","1","3","2","0",".212","17696"
"Shogo Akiyama","CIN","49","90","100","19","15","4","0","0","10","7","7","0","19","3","0","0","0","2","2",".211","27461"
"Jose Rojas","LAA","46","128","137","27","10","13","0","4","19","10","8","0","37","1","0","0","1","2","0",".211","19331"
"Luke Maile","MIL","8","19","22","4","3","1","0","0","1","1","2","0","6","1","0","0","0","0","0",".211","13355"
"Jason Vosler","SFG","31","57","64","12","5","4","0","3","11","8","6","1","12","1","0","0","3","2","0",".211","16686"
"Kelvin Gutierrez","- - -","44","152","160","32","25","4","2","1","9","9","7","0","38","1","0","0","3","0","1",".211","17468"
"Brock Holt","TEX","50","157","175","33","22","9","0","2","15","15","17","0","28","1","0","0","2","2","1",".210","9345"
"George Springer","TOR","23","81","95","17","10","1","0","6","13","12","13","0","25","0","0","0","0","2","0",".210","12856"
"Ha-seong Kim","SDP","75","191","209","40","25","8","2","5","18","25","12","0","48","4","2","0","4","5","1",".209","27506"
"Danny Mendick","CHW","51","115","135","24","19","3","0","2","13","18","16","0","33","2","1","1","1","0","1",".209","18889"
"D.J. Stewart","BAL","65","187","216","39","26","6","0","7","26","24","27","0","65","2","0","0","3","0","0",".209","17766"
"Jason Heyward","CHC","69","211","236","44","28","9","1","6","27","19","23","0","50","2","0","0","1","4","0",".209","4940"
"Jose Peraza","NYM","51","125","135","26","13","7","0","6","19","19","7","0","23","3","0","0","4","0","0",".208","13593"
"Michael Conforto","NYM","56","174","213","36","23","9","0","4","17","21","31","0","49","7","1","0","5","0","0",".207","16376"
"Daz Cameron","DET","18","58","63","12","7","2","0","3","10","9","5","0","19","0","0","0","2","4","0",".207","18353"
"Donovan Walton","SEA","22","63","69","13","8","2","1","2","6","7","4","0","15","0","0","2","1","1","0",".206","19314"
"Victor Robles","WSN","80","223","265","46","28","16","1","1","26","11","26","2","63","13","1","2","4","8","5",".206","18363"
"Kevan Smith","- - -","24","68","78","14","11","3","0","0","8","3","9","2","24","0","0","0","1","0","0",".206","12284"
"Marwin Gonzalez","BOS","70","219","246","45","29","14","0","2","23","18","17","0","61","8","1","1","5","3","1",".205","5497"
"Paul DeJong","STL","65","215","244","44","26","5","0","13","27","29","24","0","59","5","0","0","2","3","0",".205","18015"
"Gerardo Parra","WSN","20","44","48","9","4","3","0","2","5","6","3","0","14","1","0","0","2","0","0",".205","8553"
"William Contreras","ATL","44","142","158","29","18","3","1","7","16","21","13","1","50","2","1","0","2","0","0",".204","20503"
"Elias Diaz","COL","53","167","185","34","21","6","0","7","19","18","17","0","32","0","1","0","8","0","0",".204","11680"
"Chad Wallach","MIA","22","59","65","12","9","2","1","0","2","6","3","0","31","1","2","0","1","0","0",".203","17161"
"Adam Eaton","- - -","61","197","227","40","24","9","2","5","34","28","20","0","56","6","0","4","5","2","0",".203","11205"
"Gregory Polanco","PIT","72","228","261","46","28","8","1","9","24","23","28","2","75","0","5","0","4","9","0",".202","12907"
"Austin Barnes","LAD","48","129","152","26","17","6","0","3","16","15","18","1","38","4","0","1","5","0","0",".202","12158"
"David Bote","CHC","49","144","162","29","19","5","0","5","16","23","13","0","36","3","1","1","5","0","1",".201","14593"
"Wilson Ramos","DET","35","120","128","24","13","5","0","6","12","13","6","0","29","0","0","0","1","0","0",".200","1433"
"Ryan LaMarre","NYY","4","10","12","2","1","0","0","1","2","2","2","0","2","0","0","0","0","1","0",".200","10700"
"Stephen Piscotty","OAK","57","150","163","30","18","7","0","5","13","13","12","0","42","1","0","0","2","1","0",".200","13367"
"Alex Blandino","CIN","43","70","82","14","10","4","0","0","9","5","8","0","28","4","0","0","0","1","0",".200","16271"
"Aramis Garcia","OAK","31","85","91","17","14","1","0","2","7","6","1","0","27","3","0","2","3","0","0",".200","16925"
"Jorge Mateo","SDP","54","85","91","17","11","4","0","2","10","6","2","0","26","3","0","1","1","5","0",".200","17273"
"Michael Chavis","BOS","22","60","63","12","7","4","0","1","11","4","1","0","24","1","1","0","2","1","1",".200","17321"
"Tyler Nevin","BAL","2","5","6","1","0","1","0","0","0","0","1","0","2","0","0","0","0","0","0",".200","17893"
"Luis Barrera","OAK","4","5","5","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".200","19615"
"Ronnie Dawson","HOU","3","5","6","1","1","0","0","0","2","0","1","0","0","0","0","0","1","0","0",".200","19710"
"Seth Brown","OAK","73","181","201","36","17","7","1","11","24","29","18","2","53","1","1","0","1","2","0",".199","18171"
"Rowdy Tellez","- - -","57","151","167","30","21","4","1","4","13","9","12","1","37","4","0","0","3","0","0",".199","15679"
"Matt Carpenter","STL","79","141","168","28","16","8","1","3","13","20","21","1","51","5","1","0","0","1","0",".199","8090"
"Miguel Sano","MIN","69","232","260","46","22","9","0","15","31","35","26","0","94","1","1","0","5","0","0",".198","12164"
"Mike Zunino","TBR","64","193","221","38","13","6","0","19","35","38","22","0","83","5","1","0","3","0","0",".197","13265"
"Zack Short","DET","22","61","79","12","7","2","0","3","11","10","15","0","31","0","3","0","1","1","0",".197","19562"
"Kyle Higashioka","NYY","37","97","108","19","8","5","0","6","12","12","11","0","31","0","0","0","2","0","0",".196","5517"
"Brett Phillips","TBR","74","164","192","32","20","7","1","4","28","19","24","0","76","1","1","2","1","11","3",".195","14735"
"Aaron Hicks","NYY","32","108","126","21","14","3","0","4","13","14","14","0","30","2","2","0","3","0","0",".194","5297"
"Jose Rondon","STL","26","36","41","7","7","0","0","0","5","2","4","0","7","0","1","0","1","1","0",".194","14140"
"Isaac Paredes","DET","13","36","44","7","5","0","1","1","3","4","6","1","5","0","2","0","4","0","0",".194","20036"
"Pablo Sandoval","ATL","62","67","79","13","9","0","0","4","10","11","10","0","22","2","0","0","2","0","0",".194","5409"
"Shed Long Jr.","SEA","27","93","99","18","9","4","1","4","12","16","5","0","28","0","0","1","3","0","0",".194","16542"
"Eli White","TEX","52","161","176","31","21","4","1","5","24","14","12","0","50","3","0","0","2","3","2",".193","19346"
"Hunter Dozier","KCR","76","265","290","51","24","17","2","8","27","26","22","0","84","2","1","0","8","1","1",".192","15117"
"Austin Wynns","BAL","16","52","55","10","6","2","0","2","7","8","3","0","15","0","0","0","3","0","0",".192","15271"
"DJ Peters","LAD","18","26","34","5","2","2","0","1","5","4","8","4","14","0","0","0","0","0","0",".192","19348"
"Ryan McKenna","BAL","45","68","80","13","11","1","1","0","12","4","11","0","27","0","0","1","0","1","0",".191","19928"
"Travis Shaw","MIL","56","178","202","34","20","8","0","6","15","28","19","0","51","3","1","1","2","0","0",".191","11982"
"Brett Gardner","NYY","78","199","242","38","25","8","2","3","23","13","33","0","57","2","4","4","0","1","0",".191","9927"
"Tom Murphy","SEA","56","168","192","32","18","7","0","7","21","20","19","0","66","1","2","0","3","0","0",".190","13499"
"Garrett Stubbs","HOU","8","21","24","4","3","1","0","0","1","2","1","0","4","0","0","2","0","0","0",".190","18067"
"Adam Haseley","PHI","9","21","21","4","3","1","0","0","2","0","0","0","4","0","0","0","0","0","0",".190","19878"
"Dylan Moore","SEA","69","216","243","41","22","10","1","8","26","28","23","0","77","3","1","0","5","14","3",".190","18042"
"Yasmani Grandal","CHW","63","181","246","34","17","3","0","14","42","38","60","0","64","1","3","1","10","0","0",".188","11368"
"Pat Valaika","BAL","60","155","170","29","23","5","0","1","9","13","12","0","45","1","1","1","1","1","1",".187","14885"
"Sam Haggerty","SEA","35","86","94","16","11","3","0","2","15","5","6","0","28","1","0","1","1","5","1",".186","18054"
"Ernie Clement","CLE","16","43","47","8","7","1","0","0","7","1","2","0","7","1","0","1","2","0","0",".186","20352"
"Clint Frazier","NYY","66","183","218","34","20","9","0","5","20","15","32","0","65","3","0","0","8","2","0",".186","15983"
"Andy Ibanez","TEX","26","81","85","15","11","3","0","1","4","6","3","0","12","0","1","0","3","0","0",".185","18819"
"Jorge Soler","KCR","85","278","324","51","29","15","0","7","29","30","32","0","91","5","3","0","9","0","0",".183","14221"
"Mike Tauchman","- - -","66","159","183","29","20","5","0","4","20","15","22","0","53","1","0","1","0","3","3",".182","15274"
"Wilfredo Tovar","NYM","6","11","12","2","2","0","0","0","0","1","1","0","4","0","0","0","0","0","0",".182","10416"
"Brandon Drury","NYM","24","44","46","8","6","0","0","2","2","6","2","0","13","0","0","0","1","0","0",".182","11615"
"Cam Gallagher","KCR","24","55","61","10","8","2","0","0","3","1","3","0","11","0","1","1","1","0","0",".182","12981"
"Mark Payton","CIN","24","22","24","4","4","0","0","0","2","0","2","0","7","0","0","0","0","0","0",".182","16042"
"Daniel Johnson Jr.","CLE","8","22","23","4","3","0","0","1","3","1","1","0","9","0","0","0","0","0","0",".182","19643"
"Mike Brosseau","TBR","55","143","162","26","14","8","0","4","20","17","15","0","53","2","2","0","1","2","0",".182","19683"
"Tucupita Marcano","SDP","25","44","50","8","7","1","0","0","7","3","6","0","9","0","0","0","2","0","1",".182","22871"
"Ian Happ","CHC","80","238","278","43","27","7","0","9","27","23","35","0","82","3","0","2","8","1","1",".181","17919"
"Luke Raley","LAD","27","50","56","9","7","1","0","1","3","2","2","1","20","4","0","0","1","0","0",".180","19354"
"Tim Locastro","- - -","64","139","156","25","19","4","0","2","15","7","7","0","33","9","1","0","2","5","3",".180","15124"
"Josh VanMeter","ARI","56","117","136","21","12","6","1","2","12","13","17","0","41","1","1","0","1","0","0",".179","15170"
"Andres Gimenez","CLE","29","78","85","14","8","4","0","2","10","5","3","0","25","2","1","1","1","4","0",".179","19950"
"Franchy Cordero","BOS","34","95","102","17","10","6","0","1","9","9","6","0","37","0","0","1","0","1","0",".179","14567"
"Ryan Jeffers","MIN","38","123","139","22","12","3","1","6","12","16","16","0","48","0","0","0","4","0","0",".179","24618"
