"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Alejo Lopez","CIN","9","17","17","5","5","0","0","0","3","0","0","0","3","0","0","0","1","0","0",".294","21127"
"Omar Narvaez","MIL","73","222","261","65","45","12","0","8","34","27","30","2","46","6","3","0","6","0","0",".293","13338"
"Bo Bichette","TOR","90","369","397","108","73","18","1","16","73","60","24","0","84","3","1","0","7","12","0",".293","19612"
"Jesse Winker","CIN","85","332","375","97","60","17","1","19","59","50","37","1","65","6","0","0","12","1","0",".292","13590"
"Wilmer Difo","PIT","57","113","123","33","22","6","2","3","13","12","10","0","30","0","0","0","0","0","0",".292","14320"
"Fernando Tatis Jr.","SDP","77","285","328","83","37","18","0","28","73","64","39","5","90","0","4","0","3","22","2",".291","19709"
"Ramon Urias","BAL","40","115","127","33","24","5","0","4","14","18","10","0","29","2","0","0","1","0","1",".287","18795"
"Brandon Crawford","SFG","82","273","311","78","44","15","1","18","49","58","33","4","65","2","3","0","5","7","0",".286","5343"
"Adam Engel","CHW","15","49","54","14","7","2","0","5","10","12","1","0","9","3","1","0","2","2","1",".286","15082"
"Johneshwy Fargas","NYM","7","21","22","6","2","3","1","0","1","3","0","0","7","0","0","1","0","0","0",".286","16446"
"Derek Hill","DET","11","21","26","6","6","0","0","0","6","3","4","0","5","1","0","0","1","6","1",".286","16947"
"Tyler Stephenson","CIN","74","200","232","57","39","13","0","5","34","23","25","1","43","6","1","0","9","0","0",".285","17988"
"Matt Olson","OAK","89","323","377","92","46","23","0","23","60","60","44","3","61","5","5","0","7","3","1",".285","14344"
"Jose Iglesias","LAA","78","296","309","84","63","13","1","7","38","29","10","0","47","3","0","0","8","4","1",".284","10231"
"Garrett Cooper","MIA","71","215","250","61","41","10","1","9","30","33","30","0","68","4","1","0","6","1","1",".284","15279"
