Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Cole Tucker","PIT",2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17326
2021,"Willi Castro","DET",36,75,70,18,13,5,0,0,0,9,3,0,15,0,1,1,1,0,0,0.25714286,17338
2021,"Yermin Mercedes","CHW",34,70,65,22,15,4,1,2,2,11,5,1,6,0,0,0,0,0,0,0.33846154,17423
2021,"Erick Fedde","WSN",5,7,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,17425
2021,"Jeff Hoffman","CIN",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17432
2021,"Kelvin Gutierrez","2 Tms",21,39,37,7,4,2,0,1,1,2,2,0,10,0,0,0,2,0,0,0.18918919,17468
2021,"Troy Stokes Jr.","PIT",4,6,4,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,17478
2021,"Jack Flaherty","STL",2,3,3,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.33333333,17479
2021,"Taylor Ward","LAA",36,74,64,19,13,4,0,2,2,11,7,0,14,2,0,1,2,0,0,0.296875,17548
2021,"JT Brubaker","PIT",4,6,6,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.16666667,17578
2021,"Mitch Keller","PIT",3,5,5,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.4,17594
2021,"Myles Straw","HOU",51,112,100,23,21,2,0,0,0,7,12,0,21,0,0,0,4,0,0,0.23,17620
2021,"Alex Bregman","HOU",42,103,88,29,21,4,0,4,4,14,15,4,17,0,0,0,2,0,0,0.32954545,17678
2021,"Kevin Newman","PIT",51,93,88,17,13,3,0,1,1,2,4,1,4,0,1,0,1,0,0,0.19318182,17696
2021,"Skye Bolt","OAK",10,19,18,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.05555556,17723
2021,"Nabil Crismatt","SDP",2,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17732
2021,"Braden Bishop","SEA",2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,17806
2021,"Adbert Alzolay","CHC",5,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,17859
2021,"Tyler Nevin","BAL",1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,17893
2021,"Brendan Rodgers","COL",24,46,41,11,6,2,0,3,3,11,3,0,6,2,0,0,0,0,0,0.26829268,17907
2021,"Ian Happ","CHC",41,67,59,10,5,4,0,1,1,5,6,0,24,0,0,2,5,0,0,0.16949153,17919
2021,"Scott Kingery","PHI",8,14,14,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.07142857,17975
2021,"Ty France","SEA",49,114,100,27,17,4,0,6,6,20,8,1,20,4,2,0,2,0,0,0.27,17982
2021,"Tyler Stephenson","CIN",39,76,69,21,11,7,0,3,3,10,6,1,10,1,0,0,4,0,0,0.30434783,17988
2021,"David Fletcher","LAA",53,111,103,38,30,6,0,2,2,12,7,0,9,0,0,1,1,0,0,0.36893204,17992
2021,"Logan Webb","SFG",2,4,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,17995
2021,"Paul DeJong","STL",28,54,47,9,4,2,0,3,3,5,6,0,14,1,0,0,0,0,0,0.19148936,18015
2021,"Harrison Bader","STL",8,15,15,4,2,0,0,2,2,3,0,0,2,0,0,0,0,0,0,0.26666667,18030
2021,"Dylan Moore","SEA",44,84,73,17,11,3,0,3,3,7,11,0,20,0,0,0,3,0,0,0.23287671,18042
2021,"Sam Haggerty","SEA",17,31,28,3,1,1,0,1,1,2,3,0,8,0,0,0,0,0,0,0.10714286,18054
2021,"Kyle Garlick","MIN",22,63,59,16,6,6,0,4,4,6,2,0,19,1,1,0,1,0,0,0.27118644,18063
2021,"Austin Dean","STL",13,20,16,4,3,1,0,0,0,1,3,0,5,0,1,0,0,0,0,0.25,18288
2021,"Brian Anderson","MIA",17,31,30,5,3,1,0,1,1,3,1,1,14,0,0,0,0,0,0,0.16666667,18289
2021,"Carson Fulmer","CIN",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18311
2021,"Dansby Swanson","ATL",42,86,80,19,8,7,0,4,4,12,3,1,22,1,2,0,0,0,0,0.2375,18314
2021,"Daz Cameron","DET",9,19,19,1,0,0,0,1,1,1,0,0,9,0,0,0,0,0,0,0.05263158,18353
2021,"Austin Riley","ATL",41,85,77,20,10,8,0,2,2,9,5,0,27,1,2,0,0,0,0,0.25974026,18360
2021,"Victor Robles","WSN",37,75,59,10,7,2,0,1,1,1,10,1,16,6,0,0,2,0,0,0.16949153,18363
2021,"Ryan Mountcastle","BAL",50,107,94,25,17,3,1,4,4,18,9,0,28,0,4,0,1,0,0,0.26595745,18373
2021,"Ronald Acuna Jr.","ATL",38,81,63,19,10,3,0,6,6,16,15,0,14,1,2,0,0,0,0,0.3015873,18401
2021,"Jose Urquidy","HOU",1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18413
2021,"Trey Amburgey","NYY",2,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,18425
2021,"P.J. Higgins","CHC",3,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18433
2021,"Chris Gittens","NYY",10,18,16,3,2,0,0,1,1,3,2,0,4,0,0,0,0,0,0,0.1875,18482
2021,"Junior Fernandez","STL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18496
2021,"Ke'Bryan Hayes","PIT",20,41,37,10,5,3,1,1,1,6,4,0,6,0,0,0,1,0,0,0.27027027,18577
2021,"Jake Woodford","STL",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18674
2021,"Freddy Peralta","MIL",4,7,7,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0.14285714,18679
2021,"Sandy Alcantara","MIA",7,9,7,1,0,1,0,0,0,0,1,0,6,0,0,1,0,0,0,0.14285714,18684
2021,"Nick Neidert","MIA",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18699
2021,"Guillermo Heredia","ATL",30,55,50,16,7,9,0,0,0,3,4,0,11,0,1,0,1,0,0,0.32,18721
2021,"Cody Poteet","MIA",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18769
2021,"Ramon Urias","BAL",25,53,48,10,8,0,0,2,2,5,5,0,13,0,0,0,0,0,0,0.20833333,18795
2021,"Miguel Diaz","SDP",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18815
2021,"Andy Ibanez","TEX",13,30,30,11,8,3,0,0,0,1,0,0,4,0,0,0,1,0,0,0.36666667,18819
2021,"Seby Zavala","CHW",1,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,18887
2021,"Danny Mendick","CHW",29,57,51,10,9,0,0,1,1,7,6,0,14,0,0,0,1,0,0,0.19607843,18889
2021,"Leody Taveras","TEX",7,15,14,3,3,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0.21428571,18900
2021,"Tommy Nance","CHC",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19178
2021,"Will Smith","LAD",46,92,82,16,11,3,0,2,2,5,9,2,20,0,1,0,3,0,0,0.19512195,19197
2021,"Yuli Gurriel","HOU",60,131,115,36,21,9,0,6,6,25,13,1,10,0,3,0,3,0,0,0.31304348,19198
2021,"Mitch White","LAD",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19225
2021,"Caleb Baragar","SFG",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19231
2021,"Lourdes Gurriel Jr.","TOR",58,101,95,24,15,5,0,4,4,12,3,0,25,0,3,0,1,0,0,0.25263158,19238
2021,"Pete Alonso","NYM",48,91,76,18,10,1,0,7,7,13,12,2,16,1,2,0,3,0,0,0.23684211,19251
2021,"Garrett Hampson","COL",43,95,86,29,17,5,3,4,4,11,7,0,13,1,0,1,2,0,0,0.3372093,19262
2021,"Will Craig","PIT",8,19,17,4,4,0,0,0,0,0,2,1,9,0,0,0,1,0,0,0.23529412,19267
2021,"Justin Dunn","SEA",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19268
2021,"Vladimir Gutierrez","CIN",4,8,8,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.125,19278
2021,"Adolis Garcia","TEX",55,123,117,28,18,3,0,7,7,24,4,0,35,1,1,0,1,0,0,0.23931624,19287
2021,"Randy Arozarena","TBR",61,144,126,30,19,6,1,4,4,14,17,1,37,0,1,0,5,0,0,0.23809524,19290
2021,"Zac Gallen","ARI",4,5,3,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.33333333,19291
2021,"Nick Senzel","CIN",13,20,18,6,5,1,0,0,0,1,1,0,3,0,1,0,0,0,0,0.33333333,19293
2021,"Nick Solak","TEX",52,120,109,32,24,5,0,3,3,15,5,0,25,6,0,0,3,0,0,0.29357798,19294
2021,"Eric Lauer","MIL",5,6,2,0,0,0,0,0,0,1,1,0,2,0,0,3,0,0,0,0,19316
2021,"Bryan Reynolds","PIT",59,106,96,32,17,11,0,4,4,16,10,1,27,0,0,0,3,0,0,0.33333333,19326
2021,"Eli White","TEX",30,66,58,8,6,1,0,1,1,4,7,0,16,1,0,0,1,0,0,0.13793103,19346
2021,"DJ Peters","LAD",13,24,21,3,1,1,0,1,1,3,3,2,12,0,0,0,0,0,0,0.14285714,19348
2021,"Sean Murphy","OAK",49,103,92,16,8,4,0,4,4,14,5,0,30,4,2,0,2,0,0,0.17391304,19352
2021,"Corbin Burnes","MIL",4,7,6,1,1,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0.16666667,19361
2021,"Austin Hays","BAL",38,88,80,27,16,7,0,4,4,16,4,0,12,1,1,2,2,0,0,0.3375,19363
2021,"Walker Buehler","LAD",10,18,18,4,2,2,0,0,0,2,0,0,10,0,0,0,0,0,0,0.22222222,19374
2021,"Tony Gonsolin","LAD",3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19388
2021,"Shane Bieber","CLE",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19427
2021,"Jake Rogers","DET",25,48,43,11,4,2,2,3,3,7,3,0,13,0,0,2,0,0,0,0.25581395,19452
2021,"Tommy Edman","STL",41,81,74,23,12,7,1,3,3,8,6,0,10,0,0,1,0,0,0,0.31081081,19470
2021,"Alex De Goti","HOU",2,5,5,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.4,19477
2021,"Kyle Lewis","SEA",16,35,33,8,6,1,0,1,1,3,2,0,5,0,0,0,0,0,0,0.24242424,19508
2021,"Andrew Knizner","STL",16,26,24,3,2,1,0,0,0,1,2,0,5,0,0,0,2,0,0,0.125,19514
2021,"Andrew Young","ARI",14,22,18,5,1,1,0,3,3,7,1,0,10,3,0,0,0,0,0,0.27777778,19521
2021,"Taylor Jones","HOU",9,23,21,8,5,3,0,0,0,4,1,0,5,0,1,0,0,0,0,0.38095238,19533
2021,"Jaylin Davis","SFG",3,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,19552
2021,"Zack Short","DET",16,33,24,5,2,1,0,2,2,6,8,0,11,0,1,0,0,0,0,0.20833333,19562
2021,"Sean Poppen","PIT",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19583
2021,"Chas McCormick","HOU",25,57,51,11,5,3,0,3,3,13,3,0,18,1,2,0,1,0,0,0.21568627,19599
2021,"Keibert Ruiz","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19610
2021,"Vladimir Guerrero Jr.","TOR",46,99,76,19,12,2,0,5,5,11,23,0,15,0,0,0,1,0,0,0.25,19611
2021,"Bo Bichette","TOR",44,100,92,32,22,6,0,4,4,16,8,0,19,0,0,0,0,0,0,0.34782609,19612
2021,"Brent Rooker","MIN",4,10,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19627
2021,"Sheldon Neuse","LAD",18,38,37,3,2,0,0,1,1,2,1,0,16,0,0,0,1,0,0,0.08108108,19635
2021,"Mike Brosseau","TBR",47,105,90,20,12,5,0,3,3,13,13,0,30,0,2,0,0,0,0,0.22222222,19683
2021,"Edward Olivares","KCR",6,13,13,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.23076923,19698
2021,"Fernando Tatis Jr.","SDP",37,73,63,15,4,6,0,5,5,11,9,3,21,0,1,0,1,0,0,0.23809524,19709
2021,"Anthony Bender","MIA",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19742
2021,"Keegan Thompson","CHC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19795
2021,"Wil Crowe","PIT",4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19800
2021,"Riley Smith","ARI",6,7,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19826
2021,"Abraham Toro","HOU",12,25,22,7,7,0,0,0,0,4,2,0,5,1,0,0,1,0,0,0.31818182,19844
2021,"Luis Rengifo","LAA",14,24,24,3,3,0,0,0,0,2,0,0,5,0,0,0,1,0,0,0.125,19858
2021,"Riley Adams","TOR",10,18,18,3,1,2,0,0,0,0,0,0,8,0,0,0,1,0,0,0.16666667,19864
2021,"Corbin Martin","ARI",3,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.33333333,19884
2021,"Emmanuel Rivera","KCR",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19890
2021,"Connor Wong","BOS",2,5,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2,19896
2021,"Anderson Tejeda","TEX",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19909
2021,"Ryan McKenna","BAL",16,31,27,4,4,0,0,0,0,3,4,0,8,0,0,0,0,0,0,0.14814815,19928
2021,"Luke Williams","PHI",24,44,41,15,11,3,0,1,1,4,3,0,6,0,0,0,1,0,0,0.36585366,19931
2021,"Cristian Pache","ATL",10,16,15,2,0,1,0,1,1,4,0,0,5,0,0,1,0,0,0,0.13333333,19948
2021,"Ian Anderson","ATL",4,7,5,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,19951
2021,"Carter Kieboom","WSN",2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,19958
2021,"Bobby Dalbec","BOS",49,97,93,25,15,3,2,5,5,17,3,0,36,0,1,0,1,0,0,0.2688172,19966
2021,"Jared Oliva","PIT",4,9,8,2,1,1,0,0,0,1,1,1,3,0,0,0,0,0,0,0.25,19968
2021,"Tres Barrera","WSN",2,2,2,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0.5,19977
2021,"Bryse Wilson","ATL",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19990
2021,"Santiago Espinal","TOR",37,67,65,22,19,3,0,0,0,3,2,0,8,0,0,0,1,0,0,0.33846154,19997
2021,"Keston Hiura","MIL",30,51,46,5,3,1,0,1,1,4,5,0,23,0,0,0,1,0,0,0.10869565,20003
2021,"Isaac Paredes","DET",9,20,18,5,5,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0.27777778,20036
2021,"Luis Robert","CHW",12,20,18,6,3,2,0,1,1,2,2,0,5,0,0,0,0,0,0,0.33333333,20043
2021,"Alan Trejo","COL",12,18,16,4,4,0,0,0,0,1,1,1,4,0,1,0,1,0,0,0.25,20056
2021,"Bailey Falter","PHI",1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20070
2021,"Evan White","SEA",18,34,30,2,1,0,0,1,1,2,3,0,16,1,0,0,1,0,0,0.06666667,20078
2021,"Chris Paddack","SDP",3,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20099
2021,"Dylan Carlson","STL",45,88,78,25,19,5,0,1,1,9,8,0,19,0,2,0,0,0,0,0.32051282,20126
2021,"Zach Pop","MIA",2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20185
2021,"Gilberto Celestino","MIN",11,27,27,3,1,1,0,1,1,1,0,0,5,0,0,0,2,0,0,0.11111111,20233
2021,"Mario Feliciano","MIL",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20263
2021,"Jonathan Arauz","BOS",3,6,4,2,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0.5,20275
2021,"Alec Bettinger","MIL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20312
2021,"Stuart Fairchild","ARI",3,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33333333,20321
2021,"Matt Peacock","ARI",5,9,8,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.25,20339
2021,"Ernie Clement","CLE",5,11,10,2,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0.2,20352
2021,"Josh Fleming","TBR",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20418
2021,"Huascar Ynoa","ATL",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20468
2021,"William Contreras","ATL",20,30,28,6,4,0,0,2,2,3,1,0,14,1,0,0,1,0,0,0.21428571,20503
2021,"Nick Madrigal","CHW",32,63,59,22,15,4,1,2,2,5,4,0,4,0,0,0,2,0,0,0.37288136,20521
2021,"Vidal Brujan","TBR",4,9,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20536
2021,"Edwin Uceta","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20539
2021,"Jordan Holloway","MIA",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20631
2021,"Alejo Lopez","CIN",6,10,10,3,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.3,21127
2021,"Nico Hoerner","CHC",20,41,35,10,8,2,0,0,0,4,5,1,4,0,1,0,1,0,0,0.28571429,21479
2021,"Jonathan India","CIN",42,75,63,21,16,4,0,1,1,7,10,1,12,2,0,0,2,0,0,0.33333333,21523
2021,"Joey Bart","SFG",2,3,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.66666667,21524
2021,"Cal Raleigh","SEA",2,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,21534
2021,"Matt Vierling","PHI",3,4,4,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.75,21558
2021,"Alec Bohm","PHI",49,105,93,28,19,6,0,3,3,17,9,0,25,1,2,0,3,0,0,0.30107527,21618
2021,"Rafael Marchan","PHI",3,7,7,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.28571429,21646
2021,"Sebastian Rivero","KCR",3,5,2,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,21735
2021,"Braxton Garrett","MIA",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21844
2021,"Rodolfo Castro","PIT",4,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,21987
2021,"Luis Campusano","SDP",2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22217
2021,"Jake Burger","CHW",7,13,11,1,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0.09090909,22275
2021,"Taylor Walls","TBR",22,50,43,10,7,3,0,0,0,4,7,0,11,0,0,0,0,0,0,0.23255814,22458
2021,"Johan Oviedo","STL",3,5,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,22487
2021,"Alejandro Kirk","TOR",8,18,17,4,3,0,0,1,1,3,1,0,2,0,0,0,1,0,0,0.23529412,22581
2021,"Geraldo Perdomo","ARI",3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22799
2021,"Spencer Howard","PHI",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23252
2021,"Wander Franco","TBR",16,36,34,11,5,2,1,3,3,5,2,0,4,0,0,0,0,0,0,0.32352941,23667
2021,"Ryan Weathers","SDP",4,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,23796
2021,"Ryan Jeffers","MIN",21,51,44,13,6,2,0,5,5,11,7,0,16,0,0,0,1,0,0,0.29545455,24618
2021,"Owen Miller","CLE",10,27,25,2,2,0,0,0,0,1,2,0,13,0,0,0,1,0,0,0.08,24655
2021,"Drew Rasmussen","TBR",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25385
2021,"Andrew Vaughn","CHW",44,92,79,24,9,10,0,5,5,10,12,0,21,1,0,0,3,0,0,0.30379747,26197
2021,"Ha-Seong Kim","SDP",36,62,57,15,8,6,0,1,1,10,4,0,11,1,0,0,2,0,0,0.26315789,27506
