Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Paul Goldschmidt","STL",88,308,280,77,49,12,1,15,15,40,27,0,61,1,0,0,5,0,0,0.275,9218
2021,"Starling Marte","MIA",55,177,147,43,31,6,1,5,5,13,23,2,35,5,1,1,2,0,0,0.29251701,9241
2021,"AJ Pollock","LAD",57,152,141,39,18,13,0,8,8,26,9,1,34,2,0,0,1,0,0,0.27659574,9256
2021,"Evan Longoria","SFG",46,131,117,29,17,8,0,4,4,18,14,0,35,0,0,0,4,0,0,0.24786325,9368
2021,"Josh Tomlin","ATL",2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9388
2021,"Yan Gomes","WSN",58,169,152,34,25,4,1,4,4,19,13,3,34,4,0,0,9,0,0,0.22368421,9627
2021,"Joe Kelly","LAD",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9761
2021,"Christian Vazquez","BOS",75,213,194,55,42,10,0,3,3,25,15,0,36,2,2,0,5,0,0,0.28350515,9774
2021,"Nolan Arenado","STL",86,310,286,71,36,22,1,12,12,41,20,4,43,2,2,0,9,0,0,0.24825175,9777
2021,"Garrett Richards","BOS",1,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,9784
2021,"Miles Mikolas","STL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9803
2021,"Andrew McCutchen","PHI",79,222,179,34,21,5,0,8,8,32,35,1,51,1,7,0,4,0,0,0.18994413,9847
2021,"DJ LeMahieu","NYY",85,270,239,63,50,8,0,5,5,25,28,0,46,2,1,0,4,0,0,0.26359833,9874
2021,"Darin Ruf","SFG",43,77,65,14,8,2,0,4,4,10,11,0,28,1,0,0,2,0,0,0.21538462,9929
2021,"Mike Minor","KCR",1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10021
2021,"Chris Owings","COL",20,30,26,6,3,1,1,1,1,2,4,0,13,0,0,0,0,0,0,0.23076923,10030
